iter	Logloss
0	0.5853646151
1	0.5148579478
2	0.4760140241
3	0.4522261411
4	0.4372205089
5	0.4271563146
6	0.4216678404
7	0.4151531337
8	0.4119687458
9	0.4089034743
10	0.4068567876
11	0.4032320589
12	0.4012449299
13	0.3997342597
14	0.3974138758
15	0.3960621659
16	0.3949050448
17	0.3935636997
18	0.3926786052
19	0.3914164501
20	0.3905777924
21	0.3895019663
22	0.3887455339
23	0.3883290321
24	0.38704317
25	0.3862136601
26	0.385749176
27	0.3852022091
28	0.3842543845
29	0.3834247077
30	0.3827152496
31	0.3821427185
32	0.3799105577
33	0.3792878016
34	0.3787180764
35	0.3780131229
36	0.3776849283
37	0.3769863034
38	0.3765255359
39	0.3759680995
40	0.3751628751
41	0.3745939743
42	0.3740231246
43	0.3735294134
44	0.372824079
45	0.3721556114
46	0.3715483994
47	0.3709137402
48	0.37013215
49	0.369616069
50	0.3693521621
51	0.3688250883
52	0.3683138531
53	0.367871345
54	0.3669924254
55	0.3663598456
56	0.3659287222
57	0.3652485382
58	0.3645407712
59	0.3640634447
60	0.3633666463
61	0.3626695536
62	0.3621157269
63	0.3615748146
64	0.360780637
65	0.3598390682
66	0.3591986682
67	0.3586330484
68	0.3579634612
69	0.3574089741
70	0.3563508157
71	0.3556704202
72	0.3549638253
73	0.3543563167
74	0.3536884526
75	0.3528502291
76	0.3523604144
77	0.3516482891
78	0.3509038777
79	0.3502768806
80	0.349563297
81	0.3491123127
82	0.3485176359
83	0.3478850893
84	0.3470652522
85	0.3464211748
86	0.3459210747
87	0.3453387272
88	0.3447555934
89	0.3441362701
90	0.3435572038
91	0.3427804406
92	0.3422040779
93	0.3416411881
94	0.3410833
95	0.340416453
96	0.3397686431
97	0.3391339035
98	0.33843168
99	0.3379829319
100	0.337399299
101	0.3366621911
102	0.3358071426
103	0.3351445068
104	0.3345638618
105	0.334039582
106	0.3333548658
107	0.3327869925
108	0.3323338962
109	0.3317920776
110	0.3313256085
111	0.3306850137
112	0.3300078873
113	0.3294441219
114	0.3289112108
115	0.3284001436
116	0.3280584562
117	0.3275403172
118	0.3270631877
119	0.3265153427
120	0.3258767772
121	0.3254302569
122	0.3251115997
123	0.3246191718
124	0.3241686965
125	0.3236764015
126	0.323314474
127	0.3229557749
128	0.3223394706
129	0.3219168898
130	0.3216689656
131	0.3212011602
132	0.3206205094
133	0.3202538195
134	0.3196701942
135	0.3189770103
136	0.3186065326
137	0.3181371346
138	0.3176912313
139	0.3172179356
140	0.3166959484
141	0.3162187245
142	0.3157201522
143	0.3150119913
144	0.314570101
145	0.3138550854
146	0.3134527637
147	0.3131339776
148	0.3127364572
149	0.3121628351
150	0.3115442628
151	0.3110046014
152	0.3105517639
153	0.3101905243
154	0.3099041952
155	0.3092088131
156	0.3087863184
157	0.3082741607
158	0.3073728538
159	0.3068389731
160	0.3063063107
161	0.3057877802
162	0.305332638
163	0.3050765094
164	0.3047390209
165	0.3046254624
166	0.3041615003
167	0.3036038381
168	0.3031459239
169	0.3025779372
170	0.3019389713
171	0.3013822239
172	0.3009965232
173	0.3006973163
174	0.2999810866
175	0.2993708693
176	0.2989761582
177	0.2985983446
178	0.2981200433
179	0.2978327536
180	0.2973090246
181	0.2968528905
182	0.296229317
183	0.2956272787
184	0.295167994
185	0.2946620037
186	0.294273186
187	0.2937019837
188	0.2932219239
189	0.2929287043
190	0.2924463055
191	0.2919549343
192	0.291840282
193	0.2913736131
194	0.2908646428
195	0.2903239861
196	0.2898409095
197	0.2894264479
198	0.2888950641
199	0.288498489
200	0.2880378523
201	0.2876336235
202	0.2871900737
203	0.2866467163
204	0.286321742
205	0.2859595071
206	0.2855069531
207	0.285019925
208	0.2846339422
209	0.2842964733
210	0.2838422838
211	0.2834001108
212	0.2830277107
213	0.2824972481
214	0.2820109763
215	0.2814246929
216	0.2811085669
217	0.2805773196
218	0.2802429583
219	0.2799277972
220	0.2795336217
221	0.2790682218
222	0.2787588183
223	0.2784853528
224	0.2780581498
225	0.2777181981
226	0.2774013743
227	0.2771852416
228	0.2768573052
229	0.2764883843
230	0.2760455899
231	0.275622625
232	0.2750996428
233	0.2746212672
234	0.2742675163
235	0.2737841569
236	0.2733393406
237	0.2730407016
238	0.2726790035
239	0.2723794667
240	0.2721218593
241	0.2717749706
242	0.2713846213
243	0.2711323321
244	0.270830288
245	0.2704313732
246	0.2702218863
247	0.269744082
248	0.2692848918
249	0.2688681892
250	0.2685752558
251	0.2681142728
252	0.2678109016
253	0.2673114777
254	0.2670098052
255	0.2666912485
256	0.2662654226
257	0.2658049822
258	0.2655195721
259	0.2652595097
260	0.2647307117
261	0.2645643597
262	0.2642672341
263	0.2638396949
264	0.2634051271
265	0.2629432644
266	0.262509637
267	0.2622494406
268	0.2618749748
269	0.2614955837
270	0.261027597
271	0.2607357045
272	0.2602403649
273	0.2598686067
274	0.2594601088
275	0.2590063653
276	0.258624524
277	0.2582579219
278	0.2578022982
279	0.2574385819
280	0.2572130343
281	0.256853753
282	0.2566430462
283	0.2561636298
284	0.2559461072
285	0.2555387379
286	0.2551150963
287	0.2547052234
288	0.2543124175
289	0.2539444958
290	0.253503823
291	0.2532310846
292	0.252874837
293	0.2526007361
294	0.2522601911
295	0.2520875588
296	0.2518716634
297	0.2515160303
298	0.2512455215
299	0.2509438043
